Hugo_Symbol	Entrez_Gene_Id	GTEX-T6MO-1526-SM-4DM57	GTEX-11P81-1626-SM-5BC52	GTEX-13N11-1126-SM-5KM41	GTEX-RTLS-2426-SM-46MUO	GTEX-ZP4G-0726-SM-4WWF2	GTEX-WEY5-0726-SM-4LMID	GTEX-T2IS-2226-SM-4DM65	GTEX-PX3G-2026-SM-48U1H	GTEX-U3ZN-0726-SM-4DXT5	GTEX-XUW1-0226-SM-4BOOS	GTEX-PWOO-1526-SM-48TCK	GTEX-Y3IK-2126-SM-4YCDS	GTEX-RU72-2626-SM-4TT75	GTEX-W5WG-1326-SM-4LMI9	GTEX-11GSP-2426-SM-5N9BD
TYMS	7298	75.71	73.14	72.54	126.8	84.65	74.89	52.69	62.69	87.45	122.06	57.75	299.25	185.3	85.43	85.21
C3orf79	152118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITPR2	3709	987	630	750	981	1229	748	392	873	592	713	647	701	722	621	839
RBM46	166863	0	0	0	0	2	0	0	1	0	0	2	1	0	0	0
EFTUD2	9343	1803.14	1762.41	2367.43	2042.41	2819.33	1609.12	1644.13	2967.99	1379.09	1768.09	2081	2355.73	2396.18	1504.28	1991
TRIM39-RPP21	202658	3.12	3.15	0	3.61	0	0	2.95	10.43	3.92	0	0	2.88	0	0	0
NMUR2	56923	0	1	0	0	4	0	0	5	1	3	0	0	0	3	0
SLC22A11	55867	2	5	1	13	6	6	19	8	2	5	0	9	22	3	5
PITPNB	23760	2258	2632	2081	1453.2	3401.15	2003	1747	2467	1633	1276	2421	2135	1908	1452	2988
PGAP2	27315	271	374	370	597	489.36	266	510.71	562	304.28	433	318	765.22	665	419	673
NAPB	63908	702	1034	823	1369	860	539	415	912.01	658	552	790	770	1469	747	1758
APOC1	341	56	52	47	10	47	28	32	224	29	9	50	42	75	29	31
GSTA2	2938	0	0	1	0	1	2.07	1	1	0	0	0	0	0	0	0
SCUBE3	222663	141	71	100	40	92	254	81	79	25	39	100	64	36	42	137
CRELD2	79174	864	922	848	551.05	2148.25	951	1199	844	535	1227.06	1388.04	1281	858	1237	954
GOLIM4	27333	2016	3526	2321	1103	3831	2290	1588	2860	1781	1341	1489	1830	1692	1285	1535
NKTR	4820	7073	10409	6856	15810.47	9317	6277	5627.03	8918	5029	8886	5810	11857	11374	11414	16819
ZNF446	55663	608.03	638.37	685.28	998.01	1213.88	747.49	643.55	1229.01	741.34	882.64	487.14	1240.06	1679.77	1020.28	788.27
PAN2	9924	2459	3992	2834	6483.02	4773	2274	2774.02	3823	2369	3490	2979	5456	6429	3978	5535
KCNC2	3747	0	1	1	1	2	0	0	1	0	0	0	0	2	0	1
PEAR1	375033	2621	1470	2301	2309	2814	2426	1833	2854	1101	1665	2181	2574	1571	2029	4359
SLC25A27	9481	1263	1573	1356	4290	1178	978	780	1860	1068	1109	789	2328	3748	1449	4188
SLC6A12	6539	32	168	89	42	10	9	4	487	314	17	34	71	666	5	31
SNX8	29886	312	432	466	385	795	533	515	917	515	377	474	661	810	321	481
RAG2	5897	0	2	2.47	1	6.73	0.16	0	0	0	0	0	1.81	1.67	1	0
DLC1	10395	1387	1996	1675	1447	3988	2048	1541	2498	1773	1028	2212	1793	1863	1312	4291
ERVMER34-1	100288413	6	17	6	0	17	15	13	5	11	10	31	3	37	15	5
YIPF1	54432	375	482	655	494	571	393	355	672	428	305	764	514	668	399	385
RUFY2	55680	747	1017.08	795.02	1481.04	1198.02	712.02	569.01	1028.02	637	614.01	840	997.02	1545.08	969.02	1549.01
DDX25	29118	1	3	6	5	7	5	9	15	1	18	1	14	7	3	1
WFDC8	90199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCTN6	10671	900	724.87	820	510.68	1379	951	637	1101.03	674	526	694	842	796.91	640	829
PPT2	9374	977.44	1014.17	1295.68	1841.99	1261.48	775.35	988.75	1619.78	913.64	1074.63	1261.75	1545.98	1907.12	1136.19	1776.4
SENP2	59343	1028	1316	992	1477	1834	1158	750	1388	1005	944	929	1212	1917	925	1493
GBE1	2632	1462	2444	2126	536	1505	1081	407	2198	1432	489	1695	774	1148	659	699
KITLG	4254	2061	772	680	968	1950	929	1069	2517	2451	729	1292	1050	1362	1353	1038
C7orf33	202865	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCIRG1	10312	4745.44	3745.72	5413.54	7262.3	5600.66	3546.46	3594.62	5932.87	3014.19	4064.79	5537.07	6920.61	7841.78	4699.49	8335.19
KIF27	55582	183.42	426.26	266.54	572.08	281.82	183.07	168.49	300.28	251.09	219.33	151.87	550.92	376.21	202.43	332.72
PMPCA	23203	1078	1296	1398	1565	1987	1342	1436	2308	1199	1227	1317	1826	2481	1280	1850
CDT1	81620	8	10	27	14	10	9	30	29	7	14	17	21	50	14	19
GBA	2629	1073.45	904.99	2058.09	1021.12	2101.75	1450.5	729.56	2105.49	1617.03	770.01	1355.73	1382.48	1421.82	838.29	917.46
CNTLN	54875	595	565	559	944	849	566	458	1027	554	434	543	912	1020	655	1009
KIAA0355	9710	1860	1999	1743	1495	2819	1483	1431	2938	1660	1408	1622	1908	2349	1547	2935
IAH1	285148	912.92	1303.83	1172.49	1278.85	1556.95	914.5	916.5	945.02	722.41	768.63	1022.5	1082.4	1649.31	908.13	1747.35
THSD4	79875	2452	3655	2716	752	9736	2622	2508	1567	1572	799	506	2525	1631	1069	1169
TCERG1	10915	1996	3157	2356	3482	3422	2259	2057	2753	1519	2734	1641	3882	3864	2936	4153
IPO11	51194	567.84	694.54	701.48	577.02	910.77	654.96	721	831	598	417	847.19	737.71	651.18	573.2	644.83
GBA2	57704	2671.27	3163.17	3229.33	3263.57	4723.61	3160.61	3324.99	3944.58	2346.35	3670.96	3065.92	4145.93	4965.42	3584.09	5051.77
SRSF4	6429	4123	4778	5184	4269	6808	4279	3679	6339	3600	3923	4588	5571	6643.49	4120	6629
IDE	3416	1113	1160	979	842	1598	1185	794	1432	890	655	1131	911	981	795	1105
ZNF696	79943	188	289	249	233	390	189	243	388	250	179	196	260	338	207	100
MORC3	23515	1475	1968.64	1311.22	2115.8	2348	1433	975.97	1971.87	1305	1053.4	1404	2083.84	2516.17	1304.87	2921.19
PROKR1	10887	1	2	0	0	4	0	2	2	2	0	0	0	0	0	1
KCNB1	3745	2018	317	1019	609	3684	3272	1282	1862	1312	1816	1087	1733	692	2535	480
NT5DC4	284958	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
MEPE	56955	0	0	0	1	1	0	0	0	0	1	1	1	0	0	2
MYLPF	29895	4	17	4	3	13	20	9	2	2	3	3	9	33	18	5
USP17L30	728369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM236	653567	30	3.5	29.14	5.06	45.35	35.15	0	14.23	9	7.34	0	7	0	4.77	0.26
PCCA	5095	630	554	595	608	961	591	490	816	576	411	720	800	665	600	791
EDAR	10913	0	1	1	0	0	0	1	0	4	1	0	0	33	5	0
USP2	9099	215.48	295.08	411	309	623	1502	299	483	232	324	523	235	199	370	930
SLC25A26	115286	385.77	396.52	451.82	512.16	712.85	429.57	361.22	740.94	423.91	397.84	405.38	782.91	702.75	456.58	447.22
C5orf38	153571	8	2	4	16	14	2	2	5	1	4	11	10	6	2	12
MSLN	10232	97	401	64	89	352	234	145	60	105	353	1	189	25	485	238
FCRL2	79368	1	7	0	1	6	0	0	4	0	0	13	6	2	1	0
ABCB1	5243	645.61	663	791	739	1080.98	728	715	1421.97	502.97	1138	276	1249.94	920	1956.99	963
ZSCAN2	54993	249	316	411	505	505	270	367	1203.58	590	292	225	539	787	412	342
CELA2B	51032	8.58	5.16	1	0	11.45	22.08	4	13.3	2	1.12	1	3.41	9.3	0	0
MCF2	4168	4	1	4	4	4	4	2	5	2	2	16	8	8	8	3
CLEC4G	339390	2	2	7	4	5	8	3	3	1	2	146	10	9	2	27
ANGPTL7	10218	68	13	226	9	83	103	8	15	22	3	201	27	4	7	21
FOXN2	3344	683	612	566	523	890	628	319	522	357	247	434	526	434	492	542
CWF19L1	55280	522.99	639.87	504.72	872.92	710	630	488.95	842.89	533.99	531.95	525	801.96	1154.95	691.95	933.87
ZNF711	7552	294	324	250	326	388	239	299	838	342	386	219	470	532	396	400
C11orf40	143501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLE1	7088	2269.53	1984.55	2157.64	1933	3902.13	2684.22	2127.26	4649.95	3789.91	2689.5	2231.77	3665.49	6189.98	3359.45	1723.96
SNX14	57231	1149.27	1479.6	1502.23	986.83	2060.86	1283.6	932.43	1725.33	1127.04	857.84	1432.5	1515.29	1471.47	1009.29	1275.14
KIAA1462	57608	4683	2700	2918	1721	5981	4733	3165	9401	4541	2470	1690	4147	7471	3022	3149
SH2D6	284948	2	1	2	7	2	4	1	2	2	4	3	2	1	2	4
SLK	9748	3583	8131	3230	2279.61	6619	4347	1883	4547	3052	1962	3076	3537	3966	2036	3491
IQSEC1	9922	2774	2145	2031	2173	4047	3243	2117	3042	1815	1913	1893	2575	3145	2206	3764
TFAP2E	339488	56	81	35	201	58	71	73	107	42	68	54	75	117	116	222
QPRT	23475	947	581	648	1089	2459	1752	1616	2475	1115	1023	394	2135	1006	1420	2006
RP11-187E13.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PKN3	29941	589	395	889	721	928	595	471	810	454	674	674	686	772	810	721
AC013269.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL13	222235	13	15	19	83	38	36	28	30	18	35.48	15	36	49.49	22.49	56
LHX6	26468	215	245	637	82	328	296	182	496	191	170	466	531	178	173	317
EOGT	285203	2114	4123	2916	1053	5398	2660	1146	1532	1052	1135	2010	1475	1766	1070	1285
CCPG1	9236	2626.4	2955.6	2591.99	1545.68	3355.45	2282.16	1237.45	2924.22	2424.2	1054.2	2096.93	1662.31	2420.86	1412.84	1738.37
MTRNR2L13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLNR	2862	1	0	0	0	4	0	0	0	1	0	1	1	0	0	0
PCDHGA8	5098	2.68	42.86	30.03	55.65	66.28	50.8	45.39	21.88	35.6	23.12	19.59	61.31	56.39	40.96	71.72
CLTC	1213	7979	8989	8521	3842	15724.77	9772.91	6023	9776.98	6741	4898.98	9588	8444.96	5730.81	6094.98	5650.98
ATAD1	84896	1326	2105	1271	1208	2485	1591	1190	1814	1322	924	1296	1377	1584	1329	1603
TULP1	7287	20	14	20	28	32	23	51	23	6	48	15	37	16	88	21
MIA2	117153	2	0	1	0	3	0	0	0	3	1	0	1	3.8	1	2
C10orf25	220979	114.06	100.69	70.13	97.51	135.71	64.19	54.11	90.53	75.09	72.28	48.91	95.15	157.27	80.16	75.14
EYA1	2138	1	1	5	0	0	0	0	6	5	0	137	4	6	0	2
C22orf23	84645	209	150	154	80	564	285	294	277	170	192	163	379	142	106	109
LYPD6B	130576	16	0	16	3	2	4	1	29	4	17	1	12	23	11	6
PDGFRA	5156	10263	10515	5617	8072	16713	10499	2030	2285	4243	5681	12852	3974	4774	4923	3695
MS4A4A	51338	287	62	280	63	557	354	45	135	53	70	1232	229	74	69	147
C20orf26	26074	1	19	4	18	8	6	3	10	11	9	0	6	20	7	4
RASGRF2	5924	311	273	488	693	464.83	287	407	819	473	328	176	619	794	497	839.65
CCDC80	151887	5587	15058	14618	3456	30968	13477	40142	23886.55	13646	3200	14665	21904	7401.89	3429	14176
DCUN1D3	123879	876.96	633	1277.96	721.23	1695.38	942.33	624	1027	577	563.93	1128	787	932.99	897	1744
MRPL27	51264	470	738	727	537	1204	659	636	1004	534	608	661	854	842	612	607
DDR2	4921	6666	7445	5199	3463.99	11467	7604	4769	7165.02	4834	2891	6652	5681	3858	3265	5444
RBBP6	5930	2539	3719	2197	2945	3902	3257	2307	3958	2449	2545	2076	3691	4511	2519	2666
QTRT1	81890	937	1505	1304	2538	1918	1233	1514	1751	832	1993	1163	2486	3128	1762	2429
UCK2	7371	620	578	889.48	291.12	993.76	693	753	980	438.97	642	736	1034	833	427	450
TNFRSF10D	8793	305	236	303	283	384	370	198	318	256	265	411	495	975	283	1332
TMBIM1	64114	7750	9497	7869	4541	9888	7383	4218	8324	5034	4489	7853	6151	9716	4841	7845.75
OR52E8	390079	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OR6B2	389090	0	0	0	0	4.65	0	0	0	0	0	0	0	1	0	0
STRA13	201254	393	332	422	610	613	443	531	685	305	386	455	536	691	537	690
HAX1	10456	1296	1366	1506	1807	2315	1616	1333	1726	1242	1225	1753	1833	2614	1416	1974
FBXO4	26272	169	189	241	183	401	216	141	284	180	122	204	270	234	160	174
SPZ1	84654	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
SRSF6	6431	4364.97	8211.55	5096.81	6534.97	7296.93	5025.92	6102.85	9236.84	4944.97	7218.97	5204.97	8373.91	12394.67	7369.91	5538.97
ZFPM2	23414	1686	1464	1255	1532	2805	2164	642	1501	789	803	674	1293	632	798	1654
C8orf82	414919	734	446	544	780	1274	622	642	834	627	679	648	1034	1271	684	1115
AC019294.1	0	14.8	10.8	17.46	41.35	38.29	13.35	13.24	15.53	9.95	52.86	10.18	37.83	19.25	31.42	28.84
TRIM77	390231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFHB	151651	15	14	3	58	33	4	11	48	4	0	1	6	13	6	24
STARD8	9754	805	564	879	817	1274	810	443	970	586	1353	1552	1107	753	1389	1473
CCDC19	25790	23	23	41	46	50	48	6	22	20	22	12	22	52	16	71
MYT1	4661	1	2	1	1	3	4	0	1	0	1	0	0	0	0	1
CRBN	51185	1520.83	2345.05	1341.88	2801.03	1872.78	1101.33	930.73	2092.11	1276.86	1021.42	1298.03	2197.54	2500.29	1590.9	3309.02
IL36B	27177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP000867.1	0	1	0	4	0	0	0	0	2	0	0	0	0	3	0	1
ZNF7	7553	710.97	937.3	847.44	1175.86	1233.14	814.25	769.54	1289.5	695.73	654.91	650.92	1089.93	1351.61	916.17	662.83
ASAH2B	653308	90.3	169.19	205.78	177.72	162.38	139.21	106.97	185.17	138.02	71.55	125.44	172.3	190.04	103.6	109.02
NDUFV2	4729	1255.13	1397.63	1556.91	787.91	1956.68	1254.92	1114.04	1271.77	855.73	806	1482.1	1276.8	1201.4	1074.18	1172.04
CDC123	8872	1034.46	999.94	1335.44	598.86	1741.24	1112.09	1096.75	1557.08	976.33	698.8	1203.91	1198.77	955.87	820.92	806.53
TBCC	6903	563	282	495	243	770	482	357	863	527	397	390	399	699	307	134
RFPL1	5988	4.46	0	0	0	1.89	1.99	3.81	6.23	0	2.15	2.55	2.41	0	3.23	0
WBP11	51729	2162	1972	2059	1696	3243	2667	1617	3150	1885	2147	1687	2468	2385	1921	2021.01
PPP1R1B	84152	16	23	23	73	35	35	45	22	6	3	195	5	148	10	2
FCRL4	83417	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CPQ	10404	1889	2229	1800	1792	4276	2480	1928	1925	1568	1090	2127	2819	1810	1764	2676
PSMD2	5708	4172	4440	6545	2906	7532	4918	3882	7879	4319	3934	4412	4865	4372	3631	4018
ZNF354A	6940	447.31	599.02	453.5	337.96	691.03	383.27	416.95	736.59	390.52	408.7	383.47	426.36	772.95	421.17	426.9
LST3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
LRRC40	55631	424	488	440	340	771	471	316	533	368	280	388	425	506	360	428
TRIM13	10206	921.48	882.12	774.77	828.64	1380.36	855.73	824.49	1346.65	766.43	746.39	716.53	1151.89	1213.16	796.89	930.57
PRSS46	100287362	1	0	1	10	4	4	0	3	0	5	1	12	8	9	6
TMC4	147798	91	89	142	256	195	107	190	249	186	65	104	235	355	94	374
AP001350.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ZNF490	57474	61.54	63.79	60.31	46.75	61.44	46.9	32.64	62.17	77.14	17.83	83.17	34.77	69.25	49.89	39.4
FAM86B1	85002	254.69	179.94	290.14	494.71	474.56	316.84	266.45	398.68	293.1	308.28	208.3	567.48	704	487.42	180.98
KIF12	113220	48	9	8	51	8	10	23	1	89	38	3	51	951	47	57
ITGAX	3687	530	248	277	162	167	137	264	704	249	108	352	360	496	110	716
FBF1	85302	341.55	656.26	462.93	856.29	573.41	371.47	453.2	651.49	460.36	586.81	453.69	671.51	889.1	506.14	495.9
ZFP62	643836	694	1394	932	1218	1038	646	810	1287	857	757	599	1609	1421	896	919
ZNF716	441234	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2
PALM	5064	2276	2065	2606	1415	4071	2689	3712	4427	2047	1350	3659	2769	3645	2037	2731
TDRD9	122402	27	63	81	23	49	61	22	41	10	5	29	17	27	13	18
FAM169B	283777	29	0	0	6	0	1	0	0	0	1	1	4	1	9	8
OPLAH	26873	204	279.93	515.42	97.69	509.64	320.74	216.05	784	438.78	161.5	273.56	157.88	244.8	176	125.32
BTN3A3	10384	1071.52	1280.07	1379.17	2055.72	1658.57	837.3	1008.29	1568	910.37	911.67	965.44	2684.12	1758.93	1323.01	2217.5
OR5M1	390168	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
TEX38	374973	1	1	1	5	2	3	3	9	2	0	0	0	2	4	4
EFHC2	80258	75	244	63	154	321	172	115	147	146	150	73	118	315	163	54
UBXN11	91544	722.6	703.88	1091.89	3108.24	1211.48	915.02	917.73	1323.49	851.87	1646.26	818.42	1948.19	3277.61	1403.41	1374.5
LCE2A	353139	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
CARTPT	9607	4	0	5	1	0	1	1	0	3	0	0	1	0	10	0
HOXC9	3225	43	38	51	65	51	143	90	93	7	19	14	57.51	0	27	11
AC093323.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RDH16	8608	61	70	39	133	82	54	42	74	58	44	32	104	119	54	178
ARHGAP17	55114	2396	2125	2494	2894	3029	1921	2073	3876	1685	1895	2018	2790	3168	2422	5319
CCR1	1230	113	33	144	6	128	91	26	95	29	24	407	115	48	36	27
NDUFAF2	91942	339	430	397	317	662	298	398	350	228	293	472	450	520	361	530
ZNF708	7562	240	354	274	259	327	206	138	329	206	185	211	279	359	206	243
NEUROD2	4761	4	7	6	3	1	5	1	2	3	3	0	3	3	2	5
CSF3	1440	4	3	19	18	13	10	20	2	1	61	651	68	21	2	90
GAGE12G	2576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX18	54345	1155	572	1407	720	2819	714	2697	5107	2227	880	1580	2906	962	742	1413
DLEU2L	0	6	12	3	13	11	2	1	9	3	5	3	8	5	9	12
CHL1	10752	153	680	556.08	215	144	369	377	177	35	80	699.76	186	81	101	102
RCN3	57333	1074	1004	1976	1468	3064	1257	1633	1408	975	1148	2439	2041	1841	923	1778
CFD	1675	1351	114	256	1425	3349	1931	643	501	489	143	17408	690	627	172	261
STARD7	56910	2361.63	2549.95	2608.37	1488.09	4229.95	2771.59	2270.34	3452.75	2091.83	2097.73	2633.47	2820.8	2795.03	2111.37	1706.04
TMEM199	147007	482.52	666.64	720.26	562	856.1	545.39	553.9	941.97	503.54	426.47	618.36	681	762.56	571.85	520
SHANK3	85358	3174	3880	8001	5718.54	5589	4031	4553	7518	3186	5186	6163	7178	4721	5492	5805
SCAP	22937	2395	2481	3099	2591	4574	3008	3164	3968	2689	3058	2872	3648	4921	2558	2553
SLC9A6	10479	780	637	475	572	1140	757	446	707	584	663	621	768	829.13	766	897
ZNF280A	129025	0	0	2	1	2	0	0	2	0	0	0	0	0	0	0
CYP11B1	1584	13	27	23	0	4	168	6	75	36	27	22	38	11	142.98	4
HSPB9	94086	0	2	3	5	9	1	2	4	4	9	5	7	7	5	11
FMO1	2326	51	26	23	36	386	102	434	180	46	15	219	102	19	37	214
AK2	204	1983.53	2570.49	2730.25	2420.76	3568.26	2256.68	2248.27	2720.47	1755.88	2442.99	2550.56	3235.23	3050.16	2520.85	2615.34
TRAK1	22906	1071	1729	1552	1004	1988	1436	1098	2506	1069	958	1402	1413	1749	945	1851
ZNF789	285989	402	789	509	1107.11	800	509.71	624	705.91	462.13	632.83	279.23	896.79	1178	732	779.27
TPCN1	53373	5399	2756	2795	8093	4466	4080	2754	4430	3803	4073	2414	4773	9000.98	4071	6027
NT5C2	22978	1485.28	2638.85	2264.86	2446.33	2123.53	1352.75	1243.9	2338.6	1612.41	1174.83	2210.06	2298.2	2992.91	1481.16	2374.65
KRTAP8-1	337879	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PAOX	196743	150	83	142	134	155	148	143	271	127	161	180	128	237	177	195
CTDSPL	10217	2091	1413	1293	1203	2577	2107	1504	2101	1287	1100	1519	1971	1719	1346	1983
RBM19	9904	1030	1919.99	1399	2591.95	2195.96	960	1042	1573.99	1146	1566	1164	2334.99	3455	1520	2271
PHF19	26147	1623	1310	1246	3550	1937	1614	988	900	841	1677	1695	1736	3011.4	1781	3016
FERMT3	83706	457	170	387	211	667	422	238	493	212	181	920.45	496	320	156	265
CPOX	1371	585	650	763	599	799	509	619	717	447	452	700	843.41	932	637	575
ZNF844	284391	564	683	521	742	599	570	333	697	527	282	535	759	969	516	490
UTRN	7402	5953	4089	4651	4947	7463	5747	2441	4487	2703	3345	3535	5221	4220.99	4324	5772
RAB5B	5869	6208.39	5932	5164.45	4118.48	9909.21	6841.61	3749.78	8122.47	5638.02	3917.92	5600.1	5584.56	4720.97	3537.35	4180.03
TERF2	7014	1087	1152	1400	926	2025	1127	931	1674	963	796	871	1242	1326	886	921
ALG5	29880	485	561	589	430	922	596	502	735	435	425	640	585	691	523	414
ERAP2	64167	1289	820	1321	438	1450	122	532	663	436	605	665	2648	368	1432	1498
ACO1	48	1721	1487	1778	1207	2931	1820	1342	2214	1422	1106	2425	1976	1429	1417	1523
AC010646.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCGR	2642	0	1	2	1	3	1	3	15	1	0	9	5	1	4	4
PCDHGA11	5098	73.51	138.25	59.61	126.74	124.96	56.6	59.24	83.14	89.05	67.78	74.13	179.12	104.08	78.61	117.4
TMX3	54495	1667	2280	1651	1546	2593	1497	1103	1882	1316	1037	1873	1793	1941.72	1437	1800
ALG11	440138	170.11	319.17	222.6	98.6	533.77	226.39	138.43	239.07	214.55	159.12	148.31	248.39	134.28	106.52	134.55
LRIG2	9860	951	1411	955	1431	1371	1040	843	1456	774	910	787	1513	1659	1232	1342
OR8B8	26493	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ALDOC	230	460	545	765	1043.77	1122.69	720.58	411	388	368	651	611.73	960.21	847.03	844.56	1113.53
FOXD4L1	200350	6.77	0	5.8	5.96	10.51	2	3.26	6.32	7.95	5.59	3	4.45	11.65	5.17	5.42
WHSC1L1	54904	2994.92	3118.4	2457.92	3737.19	3439.35	2284	1862.77	3201.35	2207	2395.67	2810.51	3806.36	4140.75	2677.76	5123.27
NDUFAF6	137682	187	218	191	548.01	334	211	269	304	204	244	155	438	649	292	272
RBBP7	5931	3980.92	4196.69	3623	3733.07	8888.85	5080.88	6510.74	5814.35	3544.9	5160.63	5226.61	6669.83	4609.27	5142.59	5434.71
SSX7	280658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC018867.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOXL1	4016	930	376.87	1752.92	313	1479	881	1024	836.99	536	761	834	528.95	524	511	641
C16orf93	90835	45.95	65.1	55.14	234.59	121.23	100.7	118.39	154.98	93.46	108.17	69.32	106.02	302.44	120.61	72.01
CCZ1B	51622	536	1136.14	558.53	509.59	1151.88	1293.45	819.34	1283.26	647.37	988.15	861.62	893.2	1006.73	704.09	850.96
AC104472.1	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0
PCMT1	5110	1649	1665	1322	1103	2412	1458	1441	1449	1047	1163	1788	1753	1702	1851	1505
RTEL1	51750	786.74	947.03	1024.83	1316.52	1426.43	678.22	791.52	857.01	809.19	976.75	983.33	1256.82	1177.02	869.9	968.01
MICU3	286097	637	678	457	1030	572	393	256	658	280	309	348	740	868	566	1653
ABCB5	340273	16	12	8	18	6	12	3	137	11	1	46	2	13	10	71
PDXDC1	23042	2853.38	3403.92	2588.36	2788.64	4199.34	2898.21	2196.9	3738.61	2038.35	2529.16	3088.36	2797.02	2746.49	2329.94	4138.35
CLEC18A	283971	36	26.56	36.85	15.63	29.9	49.23	39.72	8.81	51.45	12.25	38.07	36.33	59.43	36.53	122.63
KRTAP21-2	337978	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
NOC4L	79050	322	391	495	646	743	343	474	800	373	370	463	662	699	461	479
ATN1	1822	14971	14949	13454	21405.55	19716	16804	12293	21458	10402	16466	15498	18592	25662.95	16785	27068
KIAA2018	205717	815	845	541	618	1384	804	567	835	607	618	605	742	918	559	731
TMEM14E	645843	4	6	3	6	5	2	6	4	1	1	0	3	8	2	18
CBX8	57332	53	144	121	46	112	50	176	134	115	78	180	83	84	73	25
CC2D1A	54862	1282	1251	1787	2195	1700	1288	1368.52	2422	1231.62	1302	1272	1595	2389.16	1470	2703
FAM177B	400823	8	1	0	1	10	2	6	6	2	0	2	2	0	3	1
IMMT	10989	1845	2002	2227	1122	3260	2144	1769	2932	1715	1299	1903	2188	2008.66	1390	1407
LYG2	254773	1	0	1	2	2	0	1	0	0	0	0	3	1	0	0
ZBTB9	221504	128	153	199	79	262	256	253	443	243	223	210	247	342	164	98
RPL36A-HNRNPH2	0	4.83	7.67	13.15	8.88	11.47	0	9.09	32.34	5.59	10.32	35.05	20.51	7.22	5.77	0
SOX6	55553	293	30	161	97	143	132	50	83	37	33	82	130	113	139	297
LRTOMT	220074	260.76	396.43	338.33	413.42	477.57	356.6	349.42	447.57	302.92	300.28	212.59	481.02	635.92	331.75	279.88
KCNJ15	3772	7	21	35	6	13	3	3	19	9	0	31	27	49	4	15
AC106873.4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
KCNJ14	3770	35	45	38	39	52	37.32	37	101.08	35.76	23	55.8	42	69	35.04	64
CTAGE1	64693	0	3.03	1	0	4	2	3.02	0	0	1	0	2	2	0	0
MDM4	4194	1876	2682	2031	3087	2510	1777	1653	2723	1568	2150	2042	3113	4194	2227	3439
FBXL17	64839	859	666	670	493	1514	1027	486	1035	655	446	558	655	500.93	536	727
HIF3A	64344	5059.98	703.29	2416.2	8919.78	7618.49	4880.59	564	737.94	1098.41	4306.8	2051.51	590	420.96	6739.34	2251.77
TUBB4B	10383	2640.61	1905.77	4701.67	868.42	7280.52	4491.93	3703.24	4499.5	2156.67	4607.24	4104.07	4162.66	3638.19	3558.17	1875.51
KCNH5	27133	0	2	0	6	1	1	0	0	0	0	0	2	3	0	6
DUOX1	53905	69.53	92.89	92.32	126.27	126.45	91.7	71.06	123.04	78.73	54.82	89.24	99.36	221.44	79.74	160.29
WDHD1	11169	102	170	178	173	254	116	143	190	117	134	138	278	184	141	111
FAM136A	84908	557	604.58	684.58	423	968.75	637	695	1120	547	476	575	804.54	864	500	575
PHRF1	57661	1562	1454	1673	2000	2435	1392	1420	2260	1366	1772	1652	1859	2894	1443	2500
WDR24	84219	489.2	568.65	697.21	635.8	997.53	553	515.09	961.93	631.89	467.06	556.25	677.76	918.67	599	502.71
GUCY2C	2984	11	12	16	1	31	3	2	12	101	4	4	4	23	2	0
NDUFA7	4701	263	282	564	253	656	332	385	394.71	247	258	388	467	393	315	276
MEF2BNB	729991	415.67	620.66	807.88	516.69	925.15	498.02	475.28	827.69	542.1	414.28	538.21	754.57	721.57	495.21	597.87
SFR1	119392	156	158	133	133	147	93	72	212	118	79	121	116	174	101	125
ABCG5	64240	1	4	9	5	2	1	5	1	4	5	2	4	10	8	8
